,name,country,city,web,PIC,stage_order,stage_name,tweet_count,tweet_length,tweet_rate,original_ratio,retweeted_ratio,replied_to_ratio,quoted_ratio,quoted_replied_to_ratio,retweet_count,retweet_ratio,retweet_rate,reply_count,reply_ratio,reply_rate,like_count,like_rate,like_ratio,quote_count,quote_rate,quote_ratio,engagement_ratio,stage_success
669,N.P.T. S.R.L.,ITALY,VALSAMOGGIA BO,,917744355,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
1236,ADVANCED MATERIALS SRL,ITALY,LAIVES,http://www.airlite.eu,935677812,1,INCEPTION,636.0,170.5503144654088,1.1216931216931216,0.6305031446540881,0.24528301886792453,0.050314465408805034,0.07389937106918239,,44841.0,70.50471698113208,79.08465608465609,20.0,0.031446540880503145,0.03527336860670194,547.0,0.9647266313932981,0.860062893081761,547.0,0.9647266313932981,0.860062893081761,71.40880503144655,0
1643,GRAPHENEA SA,SPAIN,SAN SEBASTIAN GUIPUZCOA,http://www.graphenea.com,971995582,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
331,CROIVALVE LIMITED,IRELAND,DUBLIN,http://www.croivalve.com,909573463,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
614,OU COGNUSE,ESTONIA,TALLINN,http://www.cognuse.com,916757671,1,INCEPTION,126.0,137.015873015873,0.049900990099009904,0.42857142857142855,0.4444444444444444,0.015873015873015872,0.1111111111111111,,637.0,5.055555555555555,0.2522772277227723,4.0,0.031746031746031744,0.0015841584158415843,96.0,0.03801980198019802,0.7619047619047619,96.0,0.03801980198019802,0.7619047619047619,5.880952380952381,0
1030,ATTOMARKER LIMITED,UNITED KINGDOM,EXETER,http://www.attomarker.com,930184605,1,INCEPTION,66.0,181.92424242424244,0.04127579737335835,0.4696969696969697,0.25757575757575757,0.12121212121212122,0.15151515151515152,,467.0,7.075757575757576,0.29205753595997497,19.0,0.2878787878787879,0.011882426516572859,83.0,0.05190744215134459,1.2575757575757576,83.0,0.05190744215134459,1.2575757575757576,8.772727272727273,0
266,NEOMEDLIGHT,FRANCE,VILLEURBANNE,http://www.neomedlight.com,906740675,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
1704,"ROVALMA, S.A",SPAIN,TERRASSA,http://www.rovalma.com,996728545,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
545,"STME, LDA",PORTUGAL,PORTO SALVO,http://www.fibersail.com,913967854,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
1109,CASCADE,FRANCE,CLAMART,,934348718,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
105,SAGANATURA EHF,ICELAND,HAFNARFJORDUR,,902859414,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
1693,WORLDSENSING S.L.N.E.,SPAIN,BARCELONA,http://www.worldsensing.com,993322002,1,INCEPTION,339.0,133.15634218289085,0.6506717850287908,0.4896755162241888,0.46607669616519176,0.0058997050147492625,0.038348082595870206,,13807.0,40.72861356932153,26.500959692898274,11.0,0.032448377581120944,0.02111324376199616,229.0,0.43953934740882916,0.6755162241887905,229.0,0.43953934740882916,0.6755162241887905,41.48082595870206,1
1695,SURFACE EFFECT SHIPS EUROPE AS,NORWAY,SANDEFJORD,http://www.seseu.com,995367926,1,INCEPTION,,,,,,,,,,,,,,,,,,,,,,0
630,BLUEMATER SA,PORTUGAL,PORTO,http://www.bluemater.com,916990083,1,INCEPTION,132.0,129.13636363636363,0.4583333333333333,0.15151515151515152,0.8181818181818182,0.015151515151515152,0.015151515151515152,,6929.0,52.49242424242424,24.05902777777778,1.0,0.007575757575757576,0.003472222222222222,23.0,0.0798611111111111,0.17424242424242425,23.0,0.0798611111111111,0.17424242424242425,52.696969696969695,0
683,APITIC,FRANCE,LANNION,http://www.apitic.com,918040787,1,INCEPTION,45.0,146.24444444444444,0.03643724696356275,0.5777777777777777,0.3111111111111111,,0.1111111111111111,,55.0,1.2222222222222223,0.044534412955465584,0.0,0.0,0.0,38.0,0.03076923076923077,0.8444444444444444,38.0,0.03076923076923077,0.8444444444444444,2.111111111111111,0
